index,district,grab_and_go_meals,offering,dates,hours,link,meals,school_name,school_address,city,state,zip_code,latitude,longitude,county,country,accuracy_score,accuracy_type,main_office_phone,grades,level,notes
1142,Las Cruces Public Schools,TRUE,"From March 16 to April 6, Las Cruces Public Schools will provide breakfast and lunch to all students. Roadrunner Food Bank will continue its regular services at each of its distribution centers:
* March 18 - Mesa Middle School: 7225 N. Jornada Rd.
* March 27 - Alameda Elementary School: 1325 N. Alameda Dr.
* March 30 - Columbia Elementary School: 1950 Sonoma Ranch Blvd.
* April 1 - Lynn Middle School: 950 S. Walnut Dr.",,"Breakfast: 8 a.m. to 9 a.m.
Lunch: 12p.m. to 1 p.m.",http://www.lcps.net/LCPS/SchoolsAddressMealService.html,breakfast; lunch,Picacho Middle School,1040 N. Motel Blvd.,Las Cruces,NM,88007,32.313934,-106.815231,Doña Ana County,US,1,rooftop,,,,"Breakfast can be picked up between 8 and 9 a.m., and lunch can be picked up between noon and 1 p.m."
1143,Albuquerque Public Schools,TRUE,"Grab & Go meals will be available to all school-age students under the age of 18 as of Monday, March 16, 2020.

89 school sites have been identified for meal pick-up. Parents/students will be able to pick-up meals via a drive-through line at the entrance of participating schools.

No one should be entering schools to retrieve food.

Students must be present to receive a meal. Students do not have to go to the school they attend to participate, so they may access the school site most convenient for them.

Any APS student can access meals at New Futures. Infant formula will also be made available to New Futures students only.",March 16,,https://www.aps.edu/news/coronavirus/aps-identifies-89-sites-for-student-meal-pick-ups,,A. Montoya Elementary School,24 Public School Rd.,Tijeras,NM,87059,35.076807,-106.394115,Bernalillo County,US,1,rooftop,(505) 281-0880,PreK–5,Elementary School,
1143,Las Cruces Public Schools,TRUE,"From March 16 to April 6, Las Cruces Public Schools will provide breakfast and lunch to all students. Roadrunner Food Bank will continue its regular services at each of its distribution centers:
* March 18 - Mesa Middle School: 7225 N. Jornada Rd.
* March 27 - Alameda Elementary School: 1325 N. Alameda Dr.
* March 30 - Columbia Elementary School: 1950 Sonoma Ranch Blvd.
* April 1 - Lynn Middle School: 950 S. Walnut Dr.",,"Breakfast: 8 a.m. to 9 a.m.
Lunch: 12p.m. to 1 p.m.",http://www.lcps.net/LCPS/SchoolsAddressMealService.html,breakfast; lunch,Radium Springs Community Center,12060 Lindbeck Rd.,Las Cruces,NM,88007,32.491484,-106.904151,Doña Ana County,US,1,rooftop,,,,"Breakfast can be picked up between 8 and 9 a.m., and lunch can be picked up between noon and 1 p.m."
1144,Las Cruces Public Schools,TRUE,"From March 16 to April 6, Las Cruces Public Schools will provide breakfast and lunch to all students. Roadrunner Food Bank will continue its regular services at each of its distribution centers:
* March 18 - Mesa Middle School: 7225 N. Jornada Rd.
* March 27 - Alameda Elementary School: 1325 N. Alameda Dr.
* March 30 - Columbia Elementary School: 1950 Sonoma Ranch Blvd.
* April 1 - Lynn Middle School: 950 S. Walnut Dr.",,"Breakfast: 8 a.m. to 9 a.m.
Lunch: 12p.m. to 1 p.m.",http://www.lcps.net/LCPS/SchoolsAddressMealService.html,breakfast; lunch,Meerscheidt Recreation Center,1600 E. Hadley,Las Cruces,NM,88001,32.317521,-106.761556,Doña Ana County,US,1,rooftop,,,,"Breakfast can be picked up between 8 and 9 a.m., and lunch can be picked up between noon and 1 p.m."
1145,Las Cruces Public Schools,TRUE,"From March 16 to April 6, Las Cruces Public Schools will provide breakfast and lunch to all students. Roadrunner Food Bank will continue its regular services at each of its distribution centers:
* March 18 - Mesa Middle School: 7225 N. Jornada Rd.
* March 27 - Alameda Elementary School: 1325 N. Alameda Dr.
* March 30 - Columbia Elementary School: 1950 Sonoma Ranch Blvd.
* April 1 - Lynn Middle School: 950 S. Walnut Dr.",,"Breakfast: 8 a.m. to 9 a.m.
Lunch: 12p.m. to 1 p.m.",http://www.lcps.net/LCPS/SchoolsAddressMealService.html,breakfast; lunch,Desert Hills Elementary,280 Roadrunner Pkwy,Las Cruces,NM,88011,32.327175,-106.736793,Doña Ana County,US,1,rooftop,,,,"Breakfast can be picked up between 8 and 9 a.m., and lunch can be picked up between noon and 1 p.m."
1146,Las Cruces Public Schools,TRUE,"From March 16 to April 6, Las Cruces Public Schools will provide breakfast and lunch to all students. Roadrunner Food Bank will continue its regular services at each of its distribution centers:
* March 18 - Mesa Middle School: 7225 N. Jornada Rd.
* March 27 - Alameda Elementary School: 1325 N. Alameda Dr.
* March 30 - Columbia Elementary School: 1950 Sonoma Ranch Blvd.
* April 1 - Lynn Middle School: 950 S. Walnut Dr.",,"Breakfast: 8 a.m. to 9 a.m.
Lunch: 12p.m. to 1 p.m.",http://www.lcps.net/LCPS/SchoolsAddressMealService.html,breakfast; lunch,Frank O’Brien Papen Center,304 Bell Ave.,Las Cruces,NM,88005,32.275045,-106.768836,Doña Ana County,US,1,range_interpolation,,,,"Breakfast can be picked up between 8 and 9 a.m., and lunch can be picked up between noon and 1 p.m."
1147,Las Cruces Public Schools,TRUE,"From March 16 to April 6, Las Cruces Public Schools will provide breakfast and lunch to all students. Roadrunner Food Bank will continue its regular services at each of its distribution centers:
* March 18 - Mesa Middle School: 7225 N. Jornada Rd.
* March 27 - Alameda Elementary School: 1325 N. Alameda Dr.
* March 30 - Columbia Elementary School: 1950 Sonoma Ranch Blvd.
* April 1 - Lynn Middle School: 950 S. Walnut Dr.",,"Breakfast: 8 a.m. to 9 a.m.
Lunch: 12p.m. to 1 p.m.",http://www.lcps.net/LCPS/SchoolsAddressMealService.html,breakfast; lunch,East Mesa Recreation Center,5589 Porter Dr.,Las Cruces,NM,88011,32.389127,-106.700678,Doña Ana County,US,1,rooftop,,,,"Breakfast can be picked up between 8 and 9 a.m., and lunch can be picked up between noon and 1 p.m."
1148,Las Cruces Public Schools,TRUE,"From March 16 to April 6, Las Cruces Public Schools will provide breakfast and lunch to all students. Roadrunner Food Bank will continue its regular services at each of its distribution centers:
* March 18 - Mesa Middle School: 7225 N. Jornada Rd.
* March 27 - Alameda Elementary School: 1325 N. Alameda Dr.
* March 30 - Columbia Elementary School: 1950 Sonoma Ranch Blvd.
* April 1 - Lynn Middle School: 950 S. Walnut Dr.",,"Breakfast: 8 a.m. to 9 a.m.
Lunch: 12p.m. to 1 p.m.",http://www.lcps.net/LCPS/SchoolsAddressMealService.html,breakfast; lunch,Doña Ana Community Resource Center,5745 Ledesma Dr.,Las Cruces,NM,88007,32.393199,-106.816167,Doña Ana County,US,0.9,rooftop,,,,"Breakfast can be picked up between 8 and 9 a.m., and lunch can be picked up between noon and 1 p.m."
1149,Las Cruces Public Schools,TRUE,"From March 16 to April 6, Las Cruces Public Schools will provide breakfast and lunch to all students. Roadrunner Food Bank will continue its regular services at each of its distribution centers:
* March 18 - Mesa Middle School: 7225 N. Jornada Rd.
* March 27 - Alameda Elementary School: 1325 N. Alameda Dr.
* March 30 - Columbia Elementary School: 1950 Sonoma Ranch Blvd.
* April 1 - Lynn Middle School: 950 S. Walnut Dr.",,"Breakfast: 8 a.m. to 9 a.m.
Lunch: 12p.m. to 1 p.m.",http://www.lcps.net/LCPS/SchoolsAddressMealService.html,breakfast; lunch,Metro Verde Splash Pad/Park,7125 Metro Park Dr.,Las Cruces,NM,88012,32.401496,-106.732582,Doña Ana County,US,0.8,rooftop,,,,"Breakfast can be picked up between 8 and 9 a.m., and lunch can be picked up between noon and 1 p.m."
1150,Rio Rancho Public Schools,TRUE,"During the three-week mandatory school closure, grab-n-go breakfast and lunches will be made available to children up to the age of 18.  As with our summer meal program, all children must be in the vehicle with the adult picking up the meals in order for us to release the meals. Breakfast & lunch will be available in a grab-n-go format at the same time.",,11:30 to 12:30 p.m.,https://www.rrps.net/district/about_our_district/what_s_new/coronavirus_updates,lunch,Colinas del Norte Elementary School,1001 Night Sky Ave NE,Rio Rancho,NM,87144,35.298131,-106.715599,Sandoval County,US,1,rooftop,,,,
1151,Rio Rancho Public Schools,TRUE,"During the three-week mandatory school closure, grab-n-go breakfast and lunches will be made available to children up to the age of 18.  As with our summer meal program, all children must be in the vehicle with the adult picking up the meals in order for us to release the meals. Breakfast & lunch will be available in a grab-n-go format at the same time.",,"11 a.m. to 12 p.m.
",https://www.rrps.net/district/about_our_district/what_s_new/coronavirus_updates,lunch,Martin Luther King Jr. Elementary School,1301 Nicklaus Dr SE,Rio Rancho,NM,87124,35.247166,-106.683555,Sandoval County,US,0.6,street_center,,,,
1152,Rio Rancho Public Schools,TRUE,"During the three-week mandatory school closure, grab-n-go breakfast and lunches will be made available to children up to the age of 18.  As with our summer meal program, all children must be in the vehicle with the adult picking up the meals in order for us to release the meals. Breakfast & lunch will be available in a grab-n-go format at the same time.",,11:30 a.m. to 12:30 p.m.,https://www.rrps.net/district/about_our_district/what_s_new/coronavirus_updates,lunch,Rio Rancho Middle School,1600 Loma Colorado Blvd NE,Rio Rancho,NM,87144,35.283975,-106.655937,Sandoval County,US,1,rooftop,,,,
1153,Rio Rancho Public Schools,TRUE,"During the three-week mandatory school closure, grab-n-go breakfast and lunches will be made available to children up to the age of 18.  As with our summer meal program, all children must be in the vehicle with the adult picking up the meals in order for us to release the meals. Breakfast & lunch will be available in a grab-n-go format at the same time.",,11:30 a.m. to 12:30 p.m.,https://www.rrps.net/district/about_our_district/what_s_new/coronavirus_updates,lunch,Lincoln Middle School,2287 Lema Rd SE,Rio Rancho,NM,87124,35.257005,-106.685469,Sandoval County,US,1,rooftop,,,,
1154,Rio Rancho Public Schools,TRUE,"During the three-week mandatory school closure, grab-n-go breakfast and lunches will be made available to children up to the age of 18.  As with our summer meal program, all children must be in the vehicle with the adult picking up the meals in order for us to release the meals. Breakfast & lunch will be available in a grab-n-go format at the same time.",,11 a.m. to 12 p.m.,https://www.rrps.net/district/about_our_district/what_s_new/coronavirus_updates,lunch,Ernest Stapleton Elementary School,3100 Stapleton Ave NE,Rio Rancho,NM,87124,35.271614,-106.674262,Sandoval County,US,1,rooftop,,,,
1155,Rio Rancho Public Schools,TRUE,"During the three-week mandatory school closure, grab-n-go breakfast and lunches will be made available to children up to the age of 18.  As with our summer meal program, all children must be in the vehicle with the adult picking up the meals in order for us to release the meals. Breakfast & lunch will be available in a grab-n-go format at the same time.",,11am to 12 p.m.,https://www.rrps.net/district/about_our_district/what_s_new/coronavirus_updates,lunch,Puesta del Sol Elementary School,450 Southern Blvd SE,Rio Rancho,NM,87124,35.239394,-106.728987,Sandoval County,US,1,rooftop,,,,
1156,Rio Rancho Public Schools,TRUE,"During the three-week mandatory school closure, grab-n-go breakfast and lunches will be made available to children up to the age of 18.  As with our summer meal program, all children must be in the vehicle with the adult picking up the meals in order for us to release the meals. Breakfast & lunch will be available in a grab-n-go format at the same time.",,11 a.m. to 12 p.m.,https://www.rrps.net/district/about_our_district/what_s_new/coronavirus_updates,lunch,Sandia Vista Elementary School,6800 Franklin Rd NE,Rio Rancho,NM,87144,35.318956,-106.596693,Sandoval County,US,1,rooftop,,,,
1158,Santa Fe Public Schools,TRUE,"The district will provide meals, free of charge, to all SFPS students under age 18, beginning after Spring Break, on Monday, March 16th. These meals will be distributed curbside.",Starting March 23,"Breakfast: 7:30 a.m. to 8:30 a.m.
Lunch: 11:45 a.m. to 12:45 p.m.",https://www.sfps.info/,breakfast; lunch,Santa Fe High School,2100 Yucca St,Santa Fe,NM,87505,35.649203,-105.969193,Santa Fe County,US,1,rooftop,,,,"Breakfast 7:30 AM – 8:30 AM
Lunch 11:45 AM – 12:45 AM"
1159,Santa Fe Public Schools,TRUE,"The district will provide meals, free of charge, to all SFPS students under age 18, beginning after Spring Break, on Monday, March 16th. These meals will be distributed curbside.",Starting March 23,"Breakfast: 7:30 a.m. to 8:30 a.m.
Lunch: 11:45 a.m. to 12:45 p.m.",https://www.sfps.info/,breakfast; lunch,Chaparral Elementary School,2451 Avenida Chaparral,Santa Fe,NM,87505,35.644099,-105.967105,Santa Fe County,US,1,rooftop,,,,"Breakfast 7:30 AM – 8:30 AM
Lunch 11:45 AM – 12:45 AM"
1160,Santa Fe Public Schools,TRUE,"The district will provide meals, free of charge, to all SFPS students under age 18, beginning after Spring Break, on Monday, March 16th. These meals will be distributed curbside.",Starting March 23,"Breakfast: 7:30 a.m. to 8:30 a.m.
Lunch: 11:45 a.m. to 12:45 p.m.",https://www.sfps.info/,breakfast; lunch,Ramirez Thomas Elementary School,3200 Calle Po Ae Pi,Santa Fe,NM,87507,35.643706,-106.032598,Santa Fe County,US,0.9,rooftop,,,,"Breakfast 7:30 AM – 8:30 AM
Lunch 11:45 AM – 12:45 AM"
1161,Santa Fe Public Schools,TRUE,"The district will provide meals, free of charge, to all SFPS students under age 18, beginning after Spring Break, on Monday, March 16th. These meals will be distributed curbside.",Starting March 23,"Breakfast: 7:30 a.m. to 8:30 a.m.
Lunch: 11:45 a.m. to 12:45 p.m.",https://www.sfps.info/,breakfast; lunch,Aspen Middle School,450 La Madera St,Santa Fe,NM,87501,35.684243,-105.962536,Santa Fe County,US,1,rooftop,,,,"Breakfast 7:30 AM – 8:30 AM
Lunch 11:45 AM – 12:45 AM"
1162,Santa Fe Public Schools,TRUE,"The district will provide meals, free of charge, to all SFPS students under age 18, beginning after Spring Break, on Monday, March 16th. These meals will be distributed curbside.",Starting March 23,"Breakfast: 7:30 a.m. to 8:30 a.m.
Lunch: 11:45 a.m. to 12:45 p.m.",https://www.sfps.info/,breakfast; lunch,Capital High School,4851 Paseo del Sol,Santa Fe,NM,87507,35.622964,-106.042501,Santa Fe County,US,1,rooftop,,,,"Breakfast 7:30 AM – 8:30 AM
Lunch 11:45 AM – 12:45 AM"
1163,Santa Fe Public Schools,TRUE,"The district will provide meals, free of charge, to all SFPS students under age 18, beginning after Spring Break, on Monday, March 16th. These meals will be distributed curbside.",Starting March 23,"Breakfast: 7:30 a.m. to 8:30 a.m.
Lunch: 11:45 a.m. to 12:45 p.m.",https://www.sfps.info/,breakfast; lunch,Sweeney Elementary School,501 Airport Rd,Santa Fe,NM,87507,35.625075,-106.073414,Santa Fe County,US,0.3,place,,,,"Breakfast 7:30 AM – 8:30 AM
Lunch 11:45 AM – 12:45 AM"
1164,Santa Fe Public Schools,TRUE,"The district will provide meals, free of charge, to all SFPS students under age 18, beginning after Spring Break, on Monday, March 16th. These meals will be distributed curbside.",Starting March 23,"Breakfast: 7:30 a.m. to 8:30 a.m.
Lunch: 11:45 a.m. to 12:45 p.m.",https://www.sfps.info/,breakfast; lunch,Kearny Elementary School,901 Avenida de las Campanas,Santa Fe,NM,87507,35.646290,-105.988588,Santa Fe County,US,1,rooftop,,,,"Breakfast 7:30 AM – 8:30 AM
Lunch 11:45 AM – 12:45 AM"
1166,Deming Public Schools,TRUE,"Free breakfast and lunch meals will be provided to all DPS enrolled students, regardless of school. No paperwork required, but children must be present and meals will be distributed based on number of children present. Breakfast and lunch will be provided together via drive-thru pickups. No eating of meals on-site.",March 16 to April 3,10:30 a.m. to 11:30 a.m.,https://www.demingps.org/,breakfast; lunch,Bataan Elementary School,2200 NM-418,Deming,NM,88030,32.249278,-107.789164,Luna County,US,,,,,,"Families will be able to pick up both breakfast & lunch at the same timeo on the following dates Mon, March 23 – Fri, April 3, 2020 at 4 school sites from 10:30 a.m.-11:30 a.m."
1167,Deming Public Schools,TRUE,"Free breakfast and lunch meals will be provided to all DPS enrolled students, regardless of school. No paperwork required, but children must be present and meals will be distributed based on number of children present. Breakfast and lunch will be provided together via drive-thru pickups. No eating of meals on-site.",March 16 to April 3,10:30 a.m. to 11:30 a.m.,https://www.demingps.org/,breakfast; lunch,Columbus Elementary School,7450 Altura Ave,Columbus,NM,88029,31.844178,-107.664851,Luna County,US,,,,,,
1168,Deming Public Schools,TRUE,"Free breakfast and lunch meals will be provided to all DPS enrolled students, regardless of school. No paperwork required, but children must be present and meals will be distributed based on number of children present. Breakfast and lunch will be provided together via drive-thru pickups. No eating of meals on-site.",March 16 to April 3,10:30 a.m. to 11:30 a.m.,https://www.demingps.org/,breakfast; lunch,Ruben S. Torres Elementary School,1910 8th St,Deming,NM,88030,32.281710,-107.769424,Luna County,US,,,,,,
1169,Deming Public Schools,TRUE,"Free breakfast and lunch meals will be provided to all DPS enrolled students, regardless of school. No paperwork required, but children must be present and meals will be distributed based on number of children present. Breakfast and lunch will be provided together via drive-thru pickups. No eating of meals on-site.",March 16 to April 3,10:30 a.m. to 11:30 a.m.,https://www.demingps.org/,breakfast; lunch,Central Cafeteria,422 W Birch St,Deming,NM,88030,32.263229,-107.761891,Luna County,US,,,,,,
1171,Cuba Independent Schools,TRUE,"Beginning March 18, grab'n go meals will be available at the CHS cafeteria from 10-11am & in outlying communities with exact time & location to be announced We will be serving 570 meals a day, with drop offs at chapter houses, counselors ojo, torreon, local Cuba high school cafeteria.",March 18,10 a.m. to 11 a.m.,http://cuba.k12.nm.us/,,Cuba High School ,50 County Road 13,Cuba,NM,87013,36.028579,-106.945836,Sandoval County,US,,,,,,
